Label,a,b,c,d,e,f
0,11.12564202,0.604854384,-0.139161284,0.146605979,1.447003569,0.445578274
0,11.4363029,0.530083245,-0.545839692,0.05955323,1.426869524,0.162856359
0,8.983775769,0.793254716,-0.463080795,0.080846088,1.910854893,0.235547137
0,8.646406191,0.771887519,-0.274984342,0.107847795,2.083139748,0.299787283
0,10.91071027,1.149286242,0.187900466,0.133556508,3.343685428,0.323042226
0,11.42659705,0.366742505,0.3792082,0.059808268,1.08655181,0.164476413
0,9.3636867,0.371306729,0.440995337,0.148541119,0.94828024,0.394364483
0,8.563970896,1.00154621,0.223372438,0.132191726,2.68895915,0.361553904
0,11.01996198,0.916597482,-0.163644793,0.055321255,2.520873499,0.155291463
0,11.75763866,0.563409564,-0.539358098,0.143460567,1.401613676,0.413548355
0,8.849778698,1.126050983,-0.46802328,0.049821989,2.949932426,0.141282047
0,8.528877926,0.62747759,-0.22382808,0.131315945,1.840087346,0.35120588
0,11.14463662,0.788863126,0.168666729,0.081043708,1.973082603,0.193375606
0,11.55424966,0.530658628,0.439177317,0.102721972,1.410510341,0.259688235
0,8.603559712,0.649075853,0.495648078,0.094515108,1.811461409,0.274665375
0,8.347427962,0.74027918,0.193631524,0.117374694,1.719020715,0.330641412
0,11.23932246,1.231703956,-0.226331846,0.114479521,3.412431812,0.288453924
0,11.11795284,0.465139564,-0.512250558,0.105737035,1.13366188,0.263548514
0,8.700286192,0.989864444,-0.457557021,0.07723032,2.959257172,0.218444044
0,9.216612554,0.579755438,-0.240251936,0.095194367,1.561180382,0.265163588
0,11.05621532,1.144531381,0.188211571,0.196591815,2.982847233,0.511428607
0,11.57210396,0.640360069,0.411252575,0.115348204,1.602243016,0.324307655
0,8.624631995,0.809029497,0.525389704,0.097361561,2.136803847,0.289478702
0,8.427005695,0.63378111,0.213634416,0.087191741,1.817952213,0.244694999
0,10.79179782,0.5328771,-0.150431117,0.181897754,1.357788578,0.499420441
0,11.55852616,0.994013269,-0.48708352,0.067265727,2.943480161,0.175771335
0,9.528577128,1.008247576,-0.44937424,0.089650531,2.904565441,0.235775128
0,8.77404606,0.763254224,-0.243973346,0.179681242,2.090073094,0.533915129
0,11.2782119,0.895832525,0.162064591,0.076285441,2.270475515,0.214669176
0,11.41170219,0.584263785,0.44295996,0.094975338,1.672916267,0.221493865
0,8.605785753,0.669553684,0.494337062,0.138269913,1.799674183,0.37145148
0,8.616843082,0.909540193,0.197256636,0.094303664,2.243590129,0.28816883
0,10.91257378,0.382373696,-0.198667618,0.197815465,0.978086731,0.550471021
0,11.65724494,0.657660631,-0.393642266,0.096811536,1.708370133,0.26382455
0,9.182996431,0.741325406,-0.469380585,0.102400365,2.25597241,0.289364616
0,8.538278242,0.816337055,-0.232368122,0.124414705,2.468806555,0.347198563
0,10.97232176,0.751631223,0.105051365,0.08939979,2.195039482,0.263709938
0,11.5046159,0.363774587,0.417850978,0.042275075,1.02799287,0.129122753
0,9.071791941,0.813265946,0.520880564,0.120973903,2.190104783,0.348363919
0,8.543662327,0.057189546,0.24256828,0.106258798,0.158985204,0.314022134
0,11.09158937,0.806888192,-0.116068529,0.120621655,1.970940251,0.332493464
0,10.96727453,0.462744137,-0.406179242,0.092321432,1.251824748,0.271071509
0,8.978432185,0.733159935,-0.470899783,0.104074257,2.161476058,0.288625528
0,8.751736561,0.636408703,-0.203256796,0.209022396,1.734344002,0.533170514
0,11.0047627,0.746090822,0.145174441,0.074427476,1.899503951,0.195860078
0,11.18390231,0.805413996,0.364278749,0.109134397,2.369827395,0.316614385
0,8.811351322,0.805522574,0.42514081,0.053187482,2.455831491,0.145201201
0,8.529447048,0.939682897,0.189184527,0.143343046,2.500345514,0.359944163
0,10.84494927,0.351495355,-0.170720603,0.135025977,0.963386024,0.340840249
0,11.62969859,0.77273851,-0.452416813,0.10134553,2.199423169,0.287650909
0,9.075441613,0.534290526,-0.442635342,0.051620914,1.668794423,0.131936797
0,8.727264893,0.687160928,-0.163230687,0.118078563,2.012748778,0.287158179
0,11.41337886,0.825649331,0.240716117,0.184708657,2.515495774,0.523489718
0,11.52949283,0.603290923,0.46532083,0.133060005,1.838878796,0.304859879
0,9.071648884,0.75763875,0.418566131,0.118757479,2.271672898,0.356345292
0,8.855104935,0.668759948,0.143511968,0.087635929,1.971294575,0.259637818
0,11.01589313,1.01583321,-0.155187965,0.097542233,2.91818281,0.258223771
0,11.55555467,0.682616288,-0.422091623,0.062121296,1.958980637,0.184901827
0,8.843229161,0.728669614,-0.466165586,0.095837815,1.990448753,0.274435771
0,8.74757312,0.484061575,-0.274327679,0.065571315,1.317096844,0.194442765
0,11.07821665,0.591125342,0.120650041,0.162451496,1.563655597,0.396602065
0,11.38311595,0.584762112,0.423493436,0.188798097,1.730776451,0.446933796
